Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98869         0.00051         NORM           
1      0.5000          0.98869         0.00051         NORM           
2      1.0000          0.98869         0.00051         NORM           
3      5.0000          0.98869         0.00051         NORM           
4      10.0000         0.98869         0.00051         NORM           
5      20.0000         0.98869         0.00051         NORM           
6      50.0000         0.98869         0.00051         NORM           
7      350.0000        0.98869         0.00051         NORM           
8      400.0000        0.98857         0.00047         HIGH           
9      400.0500        0.98857         0.00047         HIGH           
10     400.1500        0.98857         0.00047         HIGH           
11     400.3000        0.98857         0.00047         HIGH           
12     400.5000        0.98857         0.00047         HIGH           
13     401.0000        0.98857         0.00047         HIGH           
14     402.0000        0.98857         0.00047         HIGH           
15     405.0000        0.98857         0.00047         HIGH           
16     408.0000        0.98857         0.00047         HIGH           
17     433.0000        0.98869         0.00051         NORM           
18     453.0000        0.98869         0.00051         NORM           
