------ SIMULAZIONE DEL 24/03/2026 ALLE ORE 18:59 ------
=== PARAMETRI DI SIMULAZIONE ===
intensità sorgente: 2.02e+17 fotoni/s
Target (R, H, Pos): 2.0, 10.0, 40.0 cm
Settings: 120 batches, 500000 particles, 10 inactive batches
================================

Pres [Pa]    PITCH [cm]   PERC_water   Arricch_MAX     Arricch_min     T_WATER [K]  T_FUEL [K]   K_AUTO       STD_DEV     K_MAX        STD_DEV     Compatibilità
101325.0    3.551       0.15        20.00          1              350          600          1.00387      0.00013     0.97547     0.00020     118.10872   
101325.0    3.551       0.15        10.50          1              350          600          0.92530      0.00013     0.97547     0.00020     211.31738   
101325.0    3.551       0.15        15.25          1              350          600          0.97247      0.00013     0.97547     0.00020     12.59652    
101325.0    3.551       0.15        17.62          1              350          600          0.98951      0.00014     0.97547     0.00020     56.94779    
101325.0    3.551       0.15        16.44          1              350          600          0.98117      0.00014     0.97547     0.00020     23.29104    
101325.0    3.551       0.15        15.84          1              350          600          0.97708      0.00014     0.97547     0.00020     6.53181     
101325.0    3.551       0.15        15.55          1              350          600          0.97472      0.00014     0.97547     0.00020     3.05915     
101325.0    3.551       0.15        11.00          2              350          600          0.95900      0.00016     0.97547     0.00020     64.74464    
101325.0    3.551       0.15        15.50          2              350          600          0.99483      0.00013     0.97547     0.00020     80.24179    
101325.0    3.551       0.15        13.25          2              350          600          0.97856      0.00015     0.97547     0.00020     12.35552    
101325.0    3.551       0.15        12.12          2              350          600          0.96945      0.00015     0.97547     0.00020     24.13600    
101325.0    3.551       0.15        12.69          2              350          600          0.97441      0.00012     0.97547     0.00020     4.56073     
101325.0    3.551       0.15        11.50          3              350          600          0.98423      0.00013     0.97547     0.00020     37.02733    
101325.0    3.551       0.15        7.25           3              350          600          0.94140      0.00014     0.97547     0.00020     138.68967   
101325.0    3.551       0.15        9.38           3              350          600          0.96525      0.00013     0.97547     0.00020     42.49586    
101325.0    3.551       0.15        10.44          3              350          600          0.97508      0.00013     0.97547     0.00020     1.64520     
101325.0    3.551       0.15        12.00          4              350          600          1.00363      0.00014     0.97547     0.00020     116.67803   
101325.0    3.551       0.15        8.00           4              350          600          0.97140      0.00013     0.97547     0.00020     16.92419    
101325.0    3.551       0.15        10.00          4              350          600          0.98935      0.00014     0.97547     0.00020     56.68157    
101325.0    3.551       0.15        9.00           4              350          600          0.98057      0.00014     0.97547     0.00020     20.96758    
101325.0    3.551       0.15        8.50           4              350          600          0.97637      0.00014     0.97547     0.00020     3.73054     
101325.0    3.551       0.15        12.50          5              350          600          1.01923      0.00013     0.97547     0.00020     182.19570   
101325.0    3.551       0.15        8.75           5              350          600          0.99457      0.00014     0.97547     0.00020     78.45335    
101325.0    3.551       0.15        6.88           5              350          600          0.97798      0.00015     0.97547     0.00020     10.16195    
101325.0    3.551       0.15        5.94           5              350          600          0.96842      0.00014     0.97547     0.00020     28.68337    
101325.0    3.551       0.15        6.41           5              350          600          0.97328      0.00013     0.97547     0.00020     9.06075     
101325.0    3.551       0.15        6.64           5              350          600          0.97585      0.00015     0.97547     0.00020     1.51547     
101325.0    3.551       0.15        13.00          6              350          600          1.03253      0.00014     0.97547     0.00020     235.90025   
101325.0    3.551       0.15        9.50           6              350          600          1.01299      0.00013     0.97547     0.00020     156.31868   
